BBDD_ID,PRICE,CONTRUCTION_DATE,NEIGHBORHOOD,PARKING_LOTS,AREA,ADMINISTRATION_PRICE,STRATUM,STORAGE_ROOM,BEDROOM,BATHROOM,HALF_BATHROOM,VIEW_TYPE,PARKING_LOT_TYPES,KITCHEN_FEATURES,BALCONIES,LIVING_ROOMS,DINNING_ROOMS,LAUNDRY_AREAS,SERVICE_ROOMS,DRESSING_ROOMS,SERVICE_BATHROOMS,STUDYING_ROOMS,GREEN_ZONES,GYM,POOL,TURCO,VISITOR_PARKING_LOTS,YARD,KIDS_PARK,BBQ,SOCIAL_ROOM,SPORTS_FIELD,SOLARIUM
327727,420000000,2007-01-01 5:00:00,Manila,0,155,0,2,,3,2,,,,,,1,1,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
507188,270000000,2011-01-01 5:00:00,Loma de los Bernal,1,67,301000,4,,3,2,,,,Integral,1,1,1,1,,,,,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO
507344,450000000,2009-01-01 5:00:00,Estadio,1,84,360000,5,,2,2,,,Cubierto,Integral,1,1,1,1,,,,1,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
420492,350000000,1995-01-01 5:00:00,Las Acacias,0,118,190,5,,4,3,,,Cubierto,,1,1,1,1,1,,1,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
97630,510000000,2009-01-02 0:00:00,Conquistadores,2,113,620000,5,,3,3,,,,Integral,1,0,,1,,,,1,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
97712,1500000000,1978-01-02 0:00:00,Santa María de los Ángeles,2,410,815000,6,,5,6,,Exterior,Cubierto,"Cerrada,Semi-Integral",1,1,,TRUE,0,1,0,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
97718,1500000000,1986-01-02 0:00:00,Los Balsos,1,330,1300000,6,1,4,4,,Exterior,Cubierto,Integral,0,0,,TRUE,1,1,1,1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
97771,970000000,2013-01-01 5:00:00,Castropol,3,172,590000,6,1,3,4,,Exterior,Cubierto,Integral,1,0,,TRUE,1,1,1,1,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO
97779,970000000,2014-01-01 5:00:00,Castropol,3,176,566000,6,1,3,5,,Exterior,Cubierto,"Abierta,Integral,Isla",1,0,,TRUE,1,1,2,1,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO
97891,440000000,2019-01-02 0:00:00,El Chagualo,1,160,150000,3,,3,3,,Ciudad,Cubierto,"Equipada,Integral,Isla",1,1,,TRUE,,,,,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
